,Introducción a la programación orientada a objetos en Java,https://www.classcentral.com/course/introduccion-programacion-java-9065
,Introdução ao Controle Moderno,https://www.classcentral.com/course/controle-moderno-8482
,Object-Oriented JavaScript,https://www.classcentral.com/course/udacity-object-oriented-javascript-2658
,Java Programming Basics,https://www.classcentral.com/course/udacity-java-programming-basics-6686
,Introducción a la programación en C: Tipos de datos y estructuras,https://www.classcentral.com/course/edx-introduccion-a-la-programacion-en-c-tipos-de-datos-y-estructuras-12156
,Java Programming: Principles of Software Design,https://www.classcentral.com/course/java-programming-design-principles-4323
,"JavaScript, часть 2: прототипы и асинхронность",https://www.classcentral.com/course/javascript-prototipy-9580
,"JavaScript, часть 1: основы и функции",https://www.classcentral.com/course/javascript-osnovy-i-funktsii-9569
,More C# Programming and Unity,https://www.classcentral.com/course/more-programming-unity-10135
,Разработка веб-сервисов на Go - основы языка,https://www.classcentral.com/course/golang-webservices-1-10072
,用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),https://www.classcentral.com/course/pbc1-10425
,"Pointers, Arrays, and Recursion",https://www.classcentral.com/course/pointers-arrays-recursion-10326
,Python Classes and Inheritance,https://www.classcentral.com/course/python-classes-inheritance-12552
,Foundations of Objective-C App Development,https://www.classcentral.com/course/objective-c-4268
,Getting Started with Go,https://www.classcentral.com/course/golang-getting-started-12046
,Concurrency in Go,https://www.classcentral.com/course/golang-concurrency-12047
,"Functions, Methods, and Interfaces in Go",https://www.classcentral.com/course/golang-functions-methods-12050
,Основы разработки на С++: черный пояс,https://www.classcentral.com/course/c-plus-plus-black-11774
,Fitting Statistical Models to Data with Python,https://www.classcentral.com/course/fitting-statistical-models-data-python-12633
,Practical SAS Programming and Certification Review,https://www.classcentral.com/course/sas-programming-certification-review-12859
,البرمجة للجميع - بدء استخدام بايثون,https://www.classcentral.com/course/python-ar-13179
,Data Processing and Feature Engineering with MATLAB,https://www.classcentral.com/course/feature-engineering-matlab-17127
,Programación Orientada a Objetos con Python,https://www.classcentral.com/course/programacion-python-objetos-13656
,Networking with Python: Socket Programming for Communication,https://www.classcentral.com/course/networking-with-python-socket-programming-for-com-18044
,Programming for Everybody: Getting Started with Python,https://www.classcentral.com/course/programming-for-everybody-python-16934
,Building a Text-Based Bank in Java,https://www.classcentral.com/course/building-a-java-application-banking-19343
,Building a Calculator using C# in Visual Studio,https://www.classcentral.com/course/buildingacalculatorinvisualstudio-19613
,C#程序设计,https://www.classcentral.com/course/sheng-c-biancheng-6294
,c#高级编程,https://www.classcentral.com/course/csharp-gaoji-biancheng-5609
,用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)),https://www.classcentral.com/course/pbc2-10786
,Python для анализа данных,https://www.classcentral.com/course/python-for-data-science-11228
,Automating Real-World Tasks with Python,https://www.classcentral.com/course/automating-real-world-tasks-python-18063
,Object-Oriented Programming with Java,https://www.classcentral.com/course/object-oriented-programming-java-19396
,Python Programming: A Concise Introduction,https://www.classcentral.com/course/python-programming-introduction-7087
subject_name,course_name,absolute_course_name
Computer Science Courses,Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science Courses,Machine Learning,https://www.classcentral.com/course/machine-learning-835
Computer Science Courses,Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science Courses,CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science Courses,Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science Courses,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/algorithms-divide-conquer-374
Computer Science Courses,Functional Programming Principles in Scala,https://www.classcentral.com/course/progfun-422
Computer Science Courses,Unlocking Information Security: Part Ⅰ,https://www.classcentral.com/course/edx-unlocking-information-security-part-16964
Computer Science Courses,"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339
Computer Science Courses,Cryptography I,https://www.classcentral.com/course/crypto-616
Computer Science Courses,Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186
Computer Science Courses,"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335
Computer Science Courses,Introduction to Linux,https://www.classcentral.com/course/edx-introduction-to-linux-1857
Computer Science Courses,CS188.1x: Artificial Intelligence,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Hardware,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086
Computer Science Courses,Cyber Security,https://www.classcentral.com/course/swayam-cyber-security-13978
Computer Science Courses,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://www.classcentral.com/course/build-a-computer-3234
Computer Science Courses,"Algorithms, Part II",https://www.classcentral.com/course/algs4partII-340
Computer Science Courses,"Cloud Computing Concepts, Part 1",https://www.classcentral.com/course/cloud-computing-2717
Computer Science Courses,Fundamentals of Reinforcement Learning,https://www.classcentral.com/course/fundamentals-of-reinforcement-learning-14497
Computer Science Courses,Introduction to Artificial Intelligence,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301
Computer Science Courses,Machine Learning Foundations: A Case Study Approach,https://www.classcentral.com/course/ml-foundations-4352
Computer Science Courses,Transport Systems: Global Issues and Future Innovations,https://www.classcentral.com/course/transport-systems-global-issues-and-future-innova-12705
